"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Genus_species"
"OTU.1614","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota sp."
"OTU.1609","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae",NA,NA,"Cyphellophoraceae sp."
"OTU.654","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Chaetothyriales sp."
"OTU.1626","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Scleroconidioma","sphagnicola","Scleroconidioma sphagnicola"
"OTU.1640","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Millerozyma","farinosa","Millerozyma farinosa"
"OTU.1692","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyphodiscus",NA,"Hyphodiscus sp."
"OTU.1683","Fungi",NA,NA,NA,NA,NA,NA,"Fungi sp."
"OTU.1680","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Corticium",NA,"Corticium sp."
"OTU.1801","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","tofieldiae","Phaeosphaeria tofieldiae"
"OTU.1825","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","serpens","Nemania serpens"
"OTU.1167","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Perenniporia","africana","Perenniporia africana"
"OTU.1893","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"Helotiales sp."
"OTU.372","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Cudoniaceae",NA,NA,"Cudoniaceae sp."
"OTU.388","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Perusta",NA,"Perusta sp."
"OTU.540","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Chaetothyriales sp."
"OTU.2196","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales",NA,NA,NA,"Phaeomoniellales sp."
"OTU.2199","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","minuta","Hyaloscypha minuta"
"OTU.163","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Meristemomyces","arctostaphylos","Meristemomyces arctostaphylos"
"OTU.363","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota sp."
"OTU.755","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella",NA,"Mycosphaerella sp."
"OTU.519","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Chaetothyriales sp."
"OTU.2493","Fungi",NA,NA,NA,NA,NA,NA,"Fungi sp."
"OTU.314","Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium","pullulans","Aureobasidium pullulans"
"OTU.19","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Sarcinomyces","crustaceus","Sarcinomyces crustaceus"
"OTU.719","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,"Capnodiales sp."
"OTU.637","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","pini","Ramichloridium pini"
"OTU.260","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Chaetothyriales sp."
"OTU.768","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Pezicula",NA,"Pezicula sp."
